Product link,Product title,Gender,Sales price,Color,Style code,No of reviews,Star rating,Description
https://www.nike.com/in/t/air-force-1-mid-07-lx-shoes-KB8VF7/DV0792-100,Nike Air Force 1 Mid '07 LX,Men,  12 795.00, Pale Ivory/Gum Medium Brown/Brown, DV0792-100,2,5,"The celebrations just keep coming. Unbox the AF-1 for a fireside feel and a whole lotta style. The joyful take on the hoops icon pairs crisp leather with seasonally perfect prints and colours. And don't worry—even if you've been naughty, you're gonna look nice."
https://www.nike.com/in/t/air-max-90-se-shoes-ltJLHs/DV2614-100,Nike Air Max 90 SE,Men,  12 795.00, Sail/Ashen Slate/Hemp/White, DV2614-100,0,0,"What moves you? Find out in the Air Max 90 SE. Hemp accents, durable textile and playful ""NIKE MOVING CO."" details celebrate getting going. Snail-trail deco stitching across the mudguard adds a fun take to the outdoorsy aesthetic. And its Waffle outsole and exposed Air cushioning keep the tried-and-tested feel under your feet. So, where next?"
https://www.nike.com/in/t/revolution-6-next-nature-road-running-shoes-NC0P7k/DC3728-014,Nike Revolution 6 Next Nature,Men,  3 695.00, Football Grey/Cobalt Bliss/White/Black, DC3728-014,78,3.9,"Here's to new beginnings between you and the tarmac. Lace up the 100% recycled laces and set the pace at the start of your running journey with the plush feel of the Nike Revolution 6 Next Nature. We know comfort is key to a successful run, so we made sure your steps are cushioned and flexible for a soft ride. It's an evolution of a favourite, with a breathable design made with at least 20% recycled content by weight."
https://www.nike.com/in/u/custom-nike-air-force-1-high-by-you-shoes-10001372/2623049805,Nike Air Force 1 High By You,Men,  13 295.00, Multi-Colour/Multi-Colour/Multi-Colour, DZ3635-900,Review not available,Star rating not available,"Let your design shine in satin, keep it classic in canvas and get luxe with leather. No matter what you choose, these AF-1s are all about you. 12 classic colour choices and an additional Gum option for the sole mean your shoe is destined to be one of a kind, just like you."
https://www.nike.com/in/t/air-force-1-mid-07-shoes-n8McRd/DZ2672-101,Nike Air Force 1 Mid '07,Men,  14 995.00, Summit White/Summit White/Summit White/Light Bone, DZ2672-101,0,0,"Got your fave colour yet? No worries, the Colour of the Month programme lets you feed your need while celebrating a little-known piece of AF-1 history. From pristine materials to the jewelled Swoosh, it delivers coveted colours alongside '80s-inspired construction and nothin'-but-net style. It even comes with a cleaning brush to help keep your sneakers fresh. Oh, and while there○s no need to fly, drive or bus it to Baltimore to get these kicks, we want to shout out the city that helped save the AF-1."
https://www.nike.com/in/t/air-jordan-13-retro-shoe-pvTjVke9/414571-062,Air Jordan 13 Retro,Shoe,  19 295.00, Black/White/True Red, 414571-062,141,4.6,"The Air Jordan 13 Retro brings back the memorable game shoe that Michael Jordan wore during the '97–98 season, all the way to his 6th championship title. All the classic details are there like the quilted overlay, iconic sculpted midsole and holographic eye."
https://www.nike.com/in/t/air-max-dawn-se-shoes-hgfNdW/DV2113-100,Nike Air Max Dawn SE,Men,  11 895.00, Sail/Hemp/Stadium Green/Black, DV2113-100,0,0,"Find out what moves you with the Air Max Dawn. Rooted to sporty athletics DNA, these kicks combine durable textile and fun branding to bring to life our fictional ""NIKE MOVING CO."". Simple, versatile and cushioned with Nike Air—you can't go wrong starting your day off in these comfy sneakers. So where to next?"
https://www.nike.com/in/t/jordan-delta-3-low-shoes-fQrm6Q/DN2647-103,Jordan Delta 3 Low,Men,  12 795.00, White/Barely Green/Mint Foam/Wolf Grey, DN2647-103,0,0,"You can't help but look cool in low tops that meld high-end craft with high-tech features. Airy Ripstop and soft, synthetic suede pair with a smooth interior. The result? Classic low-top looks and the premium comfort you expect from Jordan Brand."
https://www.nike.com/in/t/blazer-mid-pro-club-shoes-xCk8SQ/DQ7673-101,Nike Blazer Mid Pro Club,Men,  9 695.00, White/Summit White/Sail/Habanero Red, DQ7673-101,21,4.2,"Being rooted doesn't mean you can't step forwards. Keeping the classic simplicity and comfort you love, your favourite wardrobe staple gets remastered for the modern era. Extra rubber extends from the midsole to the Swoosh for a bold twist (and a little nod to Nike innovation from the '70s). The patchwork upper adds the perfect amount of retro attitude."
https://www.nike.com/in/t/sb-dunk-low-pro-skate-shoes-NWJncN/DV5429-600,Nike SB Dunk Low Pro Premium,Skate Shoes,  9 695.00, Adobe/Phantom/Gum Light Brown/Adobe, DV5429-600,0,0,"Pack your style—on your feet. Bringing a fresh twist to the iconic skate shoes, waxed canvas underlays and throwback branding nod to your favourite '90s backpack. Hidden details like the how-to guide on the sockliner remind you to go for it, while suede overlays and gum rubber sole let you transport yourself with A+ style."
https://www.nike.com/in/t/react-miler-3-road-running-shoes-5xtNSj/DD0490-102,Nike React Miler 3,Men,  10 495.00, White/Cobalt Bliss/Black, DD0490-102,26,4.4,"Cushioned and comfortable, just like every run should feel. The Nike React Miler 3 gives you a soft and smooth ride as your feet hit the pavement. We added stability in the heel for a secure sensation, while durable traction helps keep you going on runs long and short."
https://www.nike.com/in/t/waffle-debut-shoes-sgC53B/DV0813-100,Nike Waffle Debut Premium,Men,  6 295.00, Summit White/Summit White/Light Silver/Light Silver, DV0813-100,0,0,"Retro gets modernised with these sleek sneakers inspired by the Nike Daybreak. The era-echoing design gets a premium upgrade with a wedge midsole for an extra lift. And to top it off, we've kept it classic on the bottom—the tried, tested and trusted Waffle outsole."
https://www.nike.com/in/t/air-jordan-1-zoom-cmft-2-shoes-nX8Qqx/DV1307-205,Air Jordan 1 Zoom CMFT 2,Men,  13 295.00, Palomino/Wild Berry/Desert/Melon Tint, DV1307-205,5,5,"Premium suede and Jordan Brand's signature Formula 23 foam come together to give you an extra luxurious (and extra cosy) AJ1. You don't need to play ""either or"" when it comes to choosing style or comfort with this one—which is nice, 'cause you deserve both."
https://www.nike.com/in/t/air-force-1-07-lv8-shoes-Blj3sx/DV0789-100,Nike Air Force 1 '07 LV8,Men,  10 795.00, White/Stadium Green/Pale Ivory/University Red, DV0789-100,1,5,"With an aged aesthetic and classic colours, the AF-1 gets a vintage makeover. Crisp leather with a checked pattern on the Swoosh and heel adds a festive feel for easy styling. Pair it with jeans, joggers or whatever else—the timeless look is the perfect match for any outfit."
https://www.nike.com/in/t/air-jordan-1-retro-high-og-shoes-Pz6fZ9/DZ5485-410,Air Jordan 1 Retro High OG,Men,  16 995.00, True Blue/Cement Grey/White, DZ5485-410,26,4.9,"3 + 1 = a whole new icon. Celebrating 35 years of the Air Jordan 3, these kicks combine the classic AJ1 silhouette with an original AJ3 colourway. Crafted to the '85 specs, it's got premium leather, a high-top collar and the woven tongue label you know and love. Bold splashes of True Blue throughout (check out the Wings logo) stand out against layers of white and Cement Grey. And the finishing touch? Nike Air cushioning underfoot lets you keep pace, so nothing holds you back from stepping out in style."
https://www.nike.com/in/t/pegasus-flyease-easy-on-off-road-running-shoes-RlnnC7/DJ7381-400,Nike Pegasus FlyEase,Men,  10 495.00, Ashen Slate/White/Football Grey/Black, DJ7381-400,21,4.6,"Let the Nike Pegasus FlyEase, a balanced and energised ride for any run, help you ascend to new heights. A supportive sensation helps keep your foot contained, while underfoot Air adds a pop to your step as you transition from heel to toe. Nike FlyEase technology acts as a strap, helping secure the fit. Your trusted workhorse with wings is back. Time to fly."
https://www.nike.com/in/t/air-force-1-07-lv8-shoes-VqVnxG/DV0794-001,Nike Air Force 1 '07 LV8,Men,  10 795.00, Black/Black/Anthracite/Sail, DV0794-001,0,0,"Find out what moves you in our latest AF-1. Crossing hardwood comfort with off-court flair, it brings you a playful story rooted in Nike's history of getting people moving. The textile upper, bungee-cord laces and embroidered details nod to the fictional ""NIKE MOVING CO."". So, where to next?"
https://www.nike.com/in/t/air-max-alpha-trainer-5-training-shoes-x8Jzj6/DM0829-100,Nike Air Max Alpha Trainer 5,Men,  7 495.00, Sail/Anthracite/Hyper Royal, DM0829-100,17,4.6,"Finish your last rep with power and rack it with a roar that stuns the gym floor in the Nike Air Max Alpha Trainer 5. Max Air cushioning offers comfortable stability for lifting whether it's a light or heavy day. A wide, flat base gives you enhanced stability and grip for all kinds of tough workouts without sacrificing style, as you roam from station to station and set to set."
https://www.nike.com/in/t/waffle-one-se-shoes-4PgbzS/DV0810-001,Nike Waffle One SE,Men,  9 695.00, Light Bone/Sand Drift/Sail/Stadium Green, DV0810-001,0,0,"What moves you? Find out in the Waffle One, which celebrates our history of moving people. Suede accents, durable textile and playful bungee cord details nod to our fictional ""NIKE MOVING CO"". Its Waffle outsole and springy midsole (with classic wedge shape) keep you going. So where to next?"
https://www.nike.com/in/t/air-max-dawn-shoe-7r9R5R/DQ3991-003,Nike Air Max Dawn,Men,  10 795.00, Phantom/Light Iron Ore/Picante Red/Football Grey, DQ3991-003,0,0,"Root yourself to sporty athletics DNA with this throwback design. Thoughtfully crafted from at least 20% recycled materials by weight, we've included era-echoing fabrics (like soft suede) to deliver classic vibes. Modern design lines on the midsole and heel keep your look fresh. Lace up and give your day a look-good forecast."
https://www.nike.com/in/t/pegasus-39-road-running-shoes-kmZSD6/DH4071-009,Nike Pegasus 39,Men,  10 495.00, Platinum Tint/White/Adobe/Light Crimson, DH4071-009,114,4.4,"Let the Nike Pegasus 39 help you ascend to new heights. More lightweight up top than the Pegasus 38 and ideal to wear in any season, it has a supportive sensation to help keep your feet contained, while underfoot cushioning and double Zoom Air units (1 more than the Peg 38) give you an extra pop to your step. Your trusted workhorse with wings is back. Time to fly."
https://www.nike.com/in/t/air-huarache-shoes-fg69qQ/DD1068-111,Nike Air Huarache,Men,  10 295.00, White/Stadium Green/Black/Safety Orange, DD1068-111,178,4.3,"Built to fit your foot and designed for comfort, the Nike Air Huarache brings back a street-level favourite. Soft leather accents on the upper are mixed with super-breathable, perfectly shined neoprene-like fabric for easy styling. The low-cut collar and bootie-like construction keep it sleek. Its iconic heel clip and stripped-away branding keep the early '90s look you love."
https://www.nike.com/in/t/air-max-excee-shoe-lPbXqt/CD4165-117,Nike Air Max Excee,Men,  7 995.00, Sail/Hemp/Stadium Green/Black, CD4165-117,175,4.5,"Inspired by the Nike Air Max 90, the Nike Air Max Excee is a celebration of a classic through a new lens. Elongated lines and distorted proportions on the upper bring the '90s look you love into a new, modern space."
https://www.nike.com/in/t/e-series-1-shoes-j57hxR/DR5670-100,Nike E-Series 1.0,Men,  8 695.00, White/Light Silver/Light Smoke Grey/White, DR5670-100,0,0,"Supercharge simplicity with the Nike E-Series 1.0. From the easy-to-style colours to the plush materials, including a padded collar and foam midsole, it's your invitation to get going. And for the finishing touch, the outsole pattern is inspired by zen sand gardens. Go ahead—find your calm place."
https://www.nike.com/in/t/air-trainer-1-shoes-4chdsp/DM0522-200,Nike Air Trainer 1,Men,  11 895.00, Limestone/Ale Brown/White/Valerian Blue, DM0522-200,0,0,"From the gym to the court and everywhere in between, the famed cross-trainer from '87 lets you travel without a glitch. Design details nod to the original (like the forefoot strap), while premium suede ages to perfection. Oh, and Nike Air cushioning and a mid-cut collar keep you comfortable for today's adventures. So, where to next?"
https://www.nike.com/in/t/air-force-1-07-shoe-NMmm1B/DD8959-100,Nike Air Force 1 '07,Unisex,  8 195.00, White/White/White/White, DD8959-100,743,4.7,"The radiance lives on in the Nike Air Force 1 '07, the b-ball icon that puts a fresh spin on what you know best: crisp leather, bold colours and the perfect amount of flash to make you shine."
https://www.nike.com/in/t/air-force-1-07-se-shoes-VDZZX8/DV7584-100,Nike Air Force 1 '07 SE,Unisex,  9 695.00, White/Team Red/Metallic Gold Star/White, DV7584-100,0,0,"You're not just in the game, you're leading it. Celebrating women b-ball players with that off-court lifestyle embedded into everyday life, the AF-1 returns with nothin'-but-net style. Textured leather breaks in beautifully and adds a premium touch. And let's not forget the removable medallion. It can be tucked into the pocket on the Swoosh, worn as a pendant or added to a key ring—the options are endless."
https://www.nike.com/in/t/court-vision-low-next-nature-shoe-p3CnbT/DH3158-106,Nike Court Vision Low Next Nature,Unisex,  4 995.00, White/Muslin/Metallic Gold Star/Team Red, DH3158-106,22,4.8,"In love with the classic look of '80s basketball but have a thing for the fast-paced culture of today's game?Meet the Nike Court Vision Low Next Nature.Made from at least 20% recycled materials by weight, its crisp upper and stitched overlays are inspired by the days of hook-shots and tube socks.The padded collar and rubber outsole bring comfort and traction for your world."
https://www.nike.com/in/t/nikecourt-legacy-next-nature-shoes-rdTfqH/DH3161-106,NikeCourt Legacy Next Nature,Unisex,  5 695.00, Summit White/Sail/Pearl Pink/Rosewood, DH3161-106,37,4,"Honouring a history rooted in tennis culture, the NikeCourt Legacy Next Nature brings you a time-tested staple in a design that's made from at least 20% recycled materials by weight. Its synthetic leather and retro design let you blend sport and fashion. Do good by looking good."
https://www.nike.com/in/t/nikecourt-legacy-canvas-shoes-L6X9xF/CZ0294-104,NikeCourt Legacy Canvas,Unisex,  3 995.00, White/Team Red/Metallic Gold/Phantom, CZ0294-104,33,4.8,"Honouring a history rooted in tennis culture, the NikeCourt Legacy Canvas brings you a classic in a modern, street-worthy design. Made from durable canvas and featuring heritage stitching and a retro Swoosh design, it lets you blend sport and fashion."
https://www.nike.com/in/t/air-max-270-shoes-kXwJCs/FD0824-100,Nike Air Max 270,Unisex,  14 995.00, White/Fuchsia Dream/Active Fuchsia/Bright Crimson, FD0824-100,0,0,"Legendary Air gets lifted. Our 1st lifestyle Air Max brings you comfort, bold style and 270 degrees of Air to showcase one of our greatest innovations yet. Add a lightweight, airy upper and a low-cut collar and you've got the perfect go-to kicks for everyday fun."
https://www.nike.com/in/t/air-force-1-07-shoes-QNnTzL/FD1448-664,Nike Air Force 1 '07,Unisex,  9 695.00, Pearl Pink/White/Pearl Pink/Coral Chalk, FD1448-664,0,0,"You'll score major points in this legendary classic. Crossing hardwood comfort with off-court flair, this hoops original pairs crisp leather with playful paisley-print accents for nothing-but-net style. Plus, hidden Nike Air units and durable '80s construction add the comfort you've come to expect from the AF-1."
https://www.nike.com/in/t/air-force-1-07-lx-shoes-jzdMv2/DR0148-101,Nike Air Force 1 '07 LX,Unisex,  11 895.00, Summit White/Muslin/Gum Light Brown/Black, DR0148-101,2,5,"In sneaker history, few styles last. Only 1 transcends every era—the Nike Air Force 1 '07 LX. Celebrate perfection with the b-ball original that delivers what you know best: woven fabric, bold details and some extra flash to keep you shining."
https://www.nike.com/in/t/air-jordan-1-mid-shoes-86f1ZW/BQ6472-079,Air Jordan 1 Mid,Unisex,  11 495.00, Black/White/Gym Red, BQ6472-079,317,4.9,"The Air Jordan 1 Mid brings full-court style and premium comfort to an iconic look. Its Air-Sole unit cushions play on the hardwood, while the padded collar gives you a supportive feel."
https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-NPvjSb/FD4331-121,Air Jordan 1 Mid SE,Unisex,  11 895.00, Sail/White/University Red/Fossil Stone, FD4331-121,0,0,"This AJ1 is all about love. Self-love, love of the game, love for life—whatever the L-word evokes for you, this foray into floral footwear symbolises the passions that push you forwards. Want to get in the weeds? Just open the box: special-edition packaging names every flower in the bouquet, plus their hidden meanings. Or you can tear past the paper and let the beauty of the blooms gracing the collar and keepsake hang tag speak for themselves. Either way, you (and the whole world) are going to fall in love with your look."
https://www.nike.com/in/t/blazer-low-77-se-shoes-RZSLVV/DV7003-100,Nike Blazer Low '77 SE,Unisex,  9 695.00, White/Muslin/Metallic Gold Star/Team Red, DV7003-100,0,0,"You're not just in the game, you're leading it. Celebrating women who ball and the off-court lifestyle embedded into everyday life, the Blazer Low returns with nothin'-but-net style. Textured leather breaks in beautifully and adds a premium touch. And let's not forget the removable medallion. It can be tucked into the pocket on the Swoosh, worn as a pendant or added to a key ring—the options are endless."
https://www.nike.com/in/t/air-max-bliss-se-shoes-bvjKsm/FB9752-100,Nike Air Max Bliss SE,Unisex,  13 995.00, Pale Ivory/Summit White/Oatmeal/Picante Red, FB9752-100,0,0,"Intertwining functionality with fashion, the Air Max Bliss lets you bring chic style outdoors. From rustic colours to desert-inspired textures (including faux snakeskin), it delivers the perfect amount of wild. 2-tone laces nod to traditional hiking boots, while the plush design pairs soft cushioning with pillowy padding around the ankle. Where will your adventure take you?"
https://www.nike.com/in/t/waffle-debut-vintage-shoes-t44ShF/DX2931-001,Nike Waffle Debut Vintage,Unisex,  7 095.00, Light Bone/Team Gold/Gum Medium Brown/Sail, DX2931-001,0,0,"We've got a secret: these retro kicks are brand spanking new. Done in fluffy suede and airy textile, they deliver era-echoing, '70s style with modern comfort. An updated wedge midsole gives the cushioning a serious boost, while maintaining the iconic Waffle outsole you know and love."
https://www.nike.com/in/t/waffle-debut-shoes-hbBJtw/DH9523-603,Nike Waffle Debut,Unisex,  5 695.00, Pink Oxford/Pearl Pink/White/Wolf Grey, DH9523-603,11,4.4,"Retro gets modernised with these sleek sneakers inspired by the Nike Daybreak. Era-echoing suede and nylon are paired in complementary colours, and the updated wedge midsole gives you an extra lift. Style, comfort, iconic Waffle outsole—this is a perfect new addition to your daily rotation."
https://www.nike.com/in/t/air-jordan-1-elevate-low-shoes-XlkVrM/DH7004-100,Air Jordan 1 Elevate Low,Unisex,  11 895.00, White/White/Wolf Grey, DH7004-100,19,4.9,"Rise to the occasion in style that soars. This shoe reworks an icon's original magic with a platform sole and low-cut silhouette. Air cushioning keeps you lifted, and sleek leather in contrasting colours adds visual interest."
https://www.nike.com/in/t/air-max-97-shoes-d09rhX/FB1289-200,Nike Air Max 97,Unisex,  15 995.00, Hemp/Summit White/Pearl White/Hemp, FB1289-200,0,0,"Let your style unfold in the Air Max 97, initially inspired by micromachine transformers. Taking the revolutionary full-length Nike Air cushioning that shook up the running world and adding fresh materials, it lets you ride in first-class comfort."
https://www.nike.com/in/t/react-infinity-3-road-running-shoes-3Vn30D/DZ3016-600,Nike React Infinity 3,Unisex,  13 995.00, Medium Soft Pink/White/Summit White/Light Crimson, DZ3016-600,1,5,"Stay on your feet with soft and supportive cushioning, built to help keep you on the run. A wider forefoot and higher foam stacks help shield you from recurring attrition, giving you the peace of mind to pound the pavement every day. The springy responsiveness will surprise you too, adding an element of pure speed to 1 of our most tested shoes to help you go longer, faster and further than ever."
https://www.nike.com/in/t/victori-one-se-slides-92h7jg/DX1400-600,Nike Victori One SE,Unisex,  2 695.00, Team Red/Muslin/Black, DX1400-600,0,0,"You're not just in the game, you're leading it. Celebrating women who ball and the off-court lifestyle embedded into everyday life, this must-have for sunny days ups the ante from beach to bleachers. Lightweight and easy to wear (and easy to pack for your hols), the plush foam and contoured design give lounging a boost."
https://www.nike.com/in/t/wio-9-road-running-shoes-DBJMpM/DR9831-001,Nike Winflo 9 Premium,Unisex,  9 695.00, Black/White, DR9831-001,1,5,"Featuring a balanced ride to help kick-start your run, the Winflo 9 gives you the support you need to match your speed. It has a secure fit that helps keep your foot in place as the miles go by. We added plenty of foam through the midsole, giving you extra pep to every step. So load up your favourite tunes in this musically themed design, lace up, lock in and win your goals."
https://www.nike.com/in/t/react-infinity-3-road-running-shoes-HRG5Gj/DZ3027-001,Nike React Infinity 3 Premium,Unisex,  15 995.00, Black/White/Black, DZ3027-001,0,0,"Stay on your feet with soft and supportive cushioning, built to help keep you on the run. A wider forefoot and higher foam stacks help cushion you from recurring attrition, giving you the peace of mind to pound the pavement every day. The springy responsiveness will surprise you too, adding an element of pure speed to 1 of our most tested shoes to help you go longer, faster and further than ever."
https://www.nike.com/in/t/zoom-superrep-4-next-nature-hiit-class-shoes-QvPLqG/DV1162-100,Nike Zoom SuperRep 4 Next Nature Premium,Unisex,  12 795.00, White/Multi-Colour/White/Black, DV1162-100,1,4,"The quad-burning box jumps that bring your ""why"" into focus. The sweat-soaked super-sets that leave you bent over double. This is what you live for: the struggle, the moment of truth, the breakthrough, the transformation. Designed for quick bursts of force, heart-thumping tempo changes and fast-paced workouts, this shoe helps push you to fresh HIIT heights."
https://www.nike.com/in/t/free-metcon-4-training-shoes-WK9VZ7/DQ4678-100,Nike Free Metcon 4 Premium,Unisex,  11 895.00, White/Black/White/Multi-Colour, DQ4678-100,6,4.5,"The Nike Free Metcon 4 Premium combines flexibility with stability to help you get the most out of your training programme. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room."
https://www.nike.com/in/t/zoom-superrep-4-next-nature-hiit-class-shoes-vL8WXL/DO9837-601,Nike Zoom SuperRep 4 Next Nature,Unisex,  11 895.00, Pink Oxford/Sail/Sand Drift/White, DO9837-601,0,0,"The quad-burning box jumps that bring your ""why"" into focus. The sweat-soaked super-sets that leave you bent over double. This is what you live for: the struggle, the moment of truth, the breakthrough, the transformation. Designed for quick bursts of force, heart-thumping tempo changes and fast-paced workouts, this shoe helps push you to fresh HIIT heights."
https://www.nike.com/in/t/air-max-systm-shoes-htD0rS/FD0825-600,Nike Air Max SYSTM,Unisex,  9 195.00, Cosmic Fuchsia/White/Fuchsia Dream/Multi-Colour, FD0825-600,0,0,Take your sneaker game to the Max in kicks that bring back all the best retro trends. Crisp white leather is paired with a vibrant airy mesh to deliver added dimension to these radiant kicks. But it's the colour-changing tongue label that has us most excited. It shifts from white to orange when you step out into the light to add new energy to your look.
https://www.nike.com/in/t/metcon-8-amp-training-shoes-cZ5hVh/DV1168-500,Nike Metcon 8 AMP,Unisex,  12 795.00, Deep Purple/Barely Volt/Blackened Blue/Baltic Blue, DV1168-500,0,0,Turn your workout into a party in this special Nike Metcon 8 AMP. Pulsating purples and vibrating neon yellows are fit for pumping your fist to the beat between sets or using that electric pairing as inspiration to find 1 more rep. The upper is lighter and more breathable than our previous edition to complement our standards of durability and comfort so that you can float through your cardio and power through your lifts.
https://www.nike.com/in/t/air-force-1-shoes-pK50VL/DR9503-201,Nike Air Force 1 Premium,Unisex,  11 895.00, Vachetta Tan/White, DR9503-201,2,5,"They say the way to the heart is through chocolate. They're wrong. Lace into true bliss with this crafted take on the b-ball original. Pairing smooth leather with waxed laces, it delivers love at first sight. The leather tongue label and dubrae add an artisan touch while Air cushioning puts the cherry on the bottom—setting you softly on cloud 9."
https://www.nike.com/in/t/air-max-90-futura-shoes-x9msLm/FD0821-100,Nike Air Max 90 Futura,Unisex,  13 995.00, White/Fuchsia Dream/Baltic Blue/Bright Crimson, FD0821-100,0,0,"We've re-imagined an icon of Air with bursts of high-energy colours and layered leather overlays to bring you skilfully crafted luxury. Plus, plush ankle padding mixes with tried-and-tested Air cushioning for comfort you have to feel to believe. With a design that's playful, sporty and oh-so comfortable, the Nike Air Max 90 Futura is all about stepping into the future. Are you ready?"
https://www.nike.com/in/t/air-max-flyknit-racer-next-nature-shoes-f0WTvp/FD0822-500,Nike Air Max Flyknit Racer Next Nature,Unisex,  14 995.00, Fuchsia Dream/Baltic Blue/Vivid Orange/Black, FD0822-500,0,0,"Paying homage to both heritage and innovation, the Nike Air Max Flyknit Racer goes beyond what's expected by blending an icon of the past with an icon of today. Incredibly light and stretchy Flyknit pairs with oh-so-soft cushioning for comfort you have to feel. Lace up and let your feet do the talking."
https://www.nike.com/in/t/air-zoom-flight-95-shoes-058DbL/DV0820-100,Nike Air Zoom Flight 95,Men,  14 995.00, White/Black/Football Grey/Multi-Colour, DV0820-100,0,0,"Have you ever had déjà shoe? Flash back to one of the first shoes to popularise Zoom Air technology and relive the hoops revolution. With its flowing lines, patent leather accents and futuristic 'bug eye' detailing, the Air Zoom Flight 95 is no dream—it's your ticket to turn heads."
https://www.nike.com/in/t/air-penny-2-shoes-QF54BR/DV0817-001,Nike Air Penny 2,Men,  18 395.00, Black/White/Football Grey/Multi-Colour, DV0817-001,0,0,"Flash back to '96 in the Air Penny 2. Bold and unmistakable, it was the first Air Penny to combine Max and Zoom Air technology. Now, the daring design comes wrapped in patent leather, while the signature 1 Cent logo on the side and the wavy design lines keep the coveted off-court appeal strong."
